,process,product_name,type,unit,data_source,flow_amount,flowxvalue,ghg,bdv,health
707,"phenol, from cumene",phenol,PRODUCT,kg,ihsmarkit,3.089991856,3.089991856,,,
708,"polybutadiene, by solution process",polybutadiene,PRODUCT,kg,ihsmarkit,0.616655176,0.616655176,,,
709,"polymeric_mdi, by phosgenation",polymeric_mdi,PRODUCT,kg,ihsmarkit,40.02965942,40.02965942,,,
712,"polyol_polyester, from adipic acid and deg",polyol_polyester,PRODUCT,kg,ihsmarkit,7.195077889,7.195077889,,,
717,"polyol_polyether, from po and eo by semi-continuous process",polyol_polyether,PRODUCT,kg,ihsmarkit,29.22259345,29.22259345,,,
718,"pp, by gas phase process",pp,PRODUCT,kg,ihsmarkit,245.1671539,245.1671539,,,
780,"propane, from natural gas liquids fractionation",propane,PRODUCT,kg,ecoinvent 3.10,39.76612947,39.76612947,,,
807,"propylene, from ethylene by dimerization and oct",propylene,PRODUCT,kg,ihsmarkit,0,0,,,
811,"propylene, from potroleum refinery openration",propylene,PRODUCT,kg,ecoinvent 3.10,271.8541876,271.8541876,,,
818,"propylene, from unsaturated hydrocarbons production, steam cracking operation, average",propylene,PRODUCT,kg,ecoinvent 3.10,0,0,,,
827,"propylene_oxide, by the hppo process",propylene_oxide,PRODUCT,kg,ihsmarkit,26.72990623,26.72990623,,,
830,"pur_flexible, from toluene diisocyanate and polyol",pur_flexible,PRODUCT,kg,ihsmarkit,32.05220015,32.05220015,,,
834,"pur_rigid, from polymeric MDI and polyol",pur_rigid,PRODUCT,kg,ihsmarkit,62.56589468,62.56589468,,,
851,"pvc, by suspension polymerization",pvc,PRODUCT,kg,ihsmarkit,112.9241324,112.9241324,,,
865,"p-xylene, from BTX production, from pyrolysis gas, average",p-xylene,PRODUCT,kg,ecoinvent 3.10,0,0,,,
913,"p-xylene, from BTX production, from reformate, average",p-xylene,PRODUCT,kg,ecoinvent 3.10,86.58434854,86.58434854,,,
914,"pyrolysis gas, containing benzene, toluene and xylene, from unsaturated hydrocarbons production, steam cracking operation, average",pyrolysis_gas,PRODUCT,kg,ecoinvent 3.10,0,0,,,
931,"reformate, from reformate production, petroleum refinery operation",reformate,PRODUCT,kg,ecoinvent 3.10,201.0452186,201.0452186,,,
934,"steam, high temperature, from heat",steam_high,PRODUCT,MJ,ecoinvent,4703.468503,4703.468503,,,
935,"styrene, from ethylbenzene by dehydrogenation",styrene,PRODUCT,kg,ihsmarkit,90.34089295,90.34089295,,,
938,"terephthalic_acid, from p-xylene by air oxidation",terephthalic_acid,PRODUCT,kg,ihsmarkit,132.2381435,132.2381435,,,
942,"toluene, liquid, from BTX production, from pyrolysis gas, average",toluene,PRODUCT,kg,ecoinvent 3.10,0,0,,,
963,"toluene, liquid, from BTX production, from reformate, average",toluene,PRODUCT,kg,ecoinvent 3.10,7.811300212,7.811300212,,,
964,"toluene_diisocyanate, from dinitrotoluene by phosgenation",toluene_diisocyanate,PRODUCT,kg,ihsmarkit,12.45067715,12.45067715,,,
1055,"vinyl_chloride, from ethylene by a balanced process",vinyl_chloride,PRODUCT,kg,ihsmarkit,113.5316642,113.5316642,,,
