process,product_name,type,unit,value,product_type,carbon_content,data_source
"methanol, from agricultural residue gasification, beccs",agricultural_residue,RAW MATERIALS,kg,-1.96356,intermediate,0.494,
"methanol, from agricultural residue gasification, beccs",co2_feedstock,BY-PRODUCT CREDITS,kg,1.120755,raw_material,0.2727272727272727,
"methanol, from agricultural residue gasification, beccs",methanol,PRODUCT,kg,1.0,intermediate,0.375,
"methanol, from agricultural residue gasification, beccs",water,RAW MATERIALS,kg,-2.9475,raw_material,0.0,
"methanol, from co2 hydrogenation",co2_feedstock,RAW MATERIALS,kg,-1.45732,raw_material,0.2727272727272727,
"methanol, from co2 hydrogenation",electricity,UTILITIES,kWh,-0.257626,intermediate,0.0,
"methanol, from co2 hydrogenation",hydrogen,RAW MATERIALS,kg,-0.193204,intermediate,0.0,
"methanol, from co2 hydrogenation",methanol,PRODUCT,kg,1.0,intermediate,0.375,
"methanol, from agricultural residue gasification, beccs",co2_emission,EMISSION,kg,1.060906,emission,0.2727272727272727,
"pbs, from 1,4-BDO and succinic acid",bdo_14,RAW MATERIALS,kg,-0.68,intermediate,0.5333,https://doi.org/10.1016/j.susmat.2023.e00683
"pbs, from 1,4-BDO and succinic acid",cooling_water,UTILITIES,MJ,-0.0070376786487656995,intermediate,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"pbs, from 1,4-BDO and succinic acid",electricity,UTILITIES,kWh,-0.07,intermediate,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"pbs, from 1,4-BDO and succinic acid",pbs,PRODUCT,kg,1.0,intermediate,0.5581395348837209,https://doi.org/10.1016/j.susmat.2023.e00683
"pbs, from 1,4-BDO and succinic acid",steam_high,UTILITIES,MJ,-8.250000000000002,intermediate,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"pbs, from 1,4-BDO and succinic acid",succinic_acid,RAW MATERIALS,kg,-0.69,intermediate,0.40678,https://doi.org/10.1016/j.susmat.2023.e00683
"pbs, from 1,4-BDO and succinic acid",water,RAW MATERIALS,kg,-0.49,raw_material,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"phb, from glucose fermentation",co2_feedstock,BY-PRODUCT CREDITS,kg,0.9209302325581395,raw_material,0.2727272727272727,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",phb,PRODUCT,kg,1.0,intermediate,0.5581395348837209,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",ammonia,RAW MATERIALS,kg,-0.04761904761904762,intermediate,0.0,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",ammonium_sulfate,RAW MATERIALS,kg,-0.0148,intermediate,0.0,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",glucose,RAW MATERIALS,kg,-2.8556701030927836,intermediate,0.4,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",magnesium_sulfate,RAW MATERIALS,kg,-0.0209,raw_material,0.0,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",potassium_sulfate,RAW MATERIALS,kg,-0.0186,raw_material,0.0,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",sds,RAW MATERIALS,kg,-0.2857142857142857,raw_material,0.5,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",sodium_hypochlorite,RAW MATERIALS,kg,-0.1375,raw_material,0.0,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",water,RAW MATERIALS,kg,-2.6315789473684212,raw_material,0.0,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",cooling_water,UTILITIES,MJ,-19.285946297098306,intermediate,0.0,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",electricity,UTILITIES,kWh,-1.392921775898524,intermediate,0.0,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",steam_high,UTILITIES,MJ,-10.89,intermediate,0.0,https://doi.org/10.1016/S0141-3910(02)00400-7
"succinic acid, from glucose, according to Leiva2023",co2_feedstock,RAW MATERIALS,kg,-0.26,raw_material,0.2727272727272727,https://doi.org/10.1016/j.susmat.2023.e00683
"succinic acid, from glucose, according to Leiva2023",electricity,UTILITIES,kWh,-1.76,intermediate,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"succinic acid, from glucose, according to Leiva2023",glucose,RAW MATERIALS,kg,-1.28,intermediate,0.4,https://doi.org/10.1016/j.susmat.2023.e00683
"succinic acid, from glucose, according to Leiva2023",hydrochloric_acid,RAW MATERIALS,kg,-0.402,raw_material,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"succinic acid, from glucose, according to Leiva2023",magnesium_oxide,RAW MATERIALS,kg,-0.23809523809523808,raw_material,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"succinic acid, from glucose, according to Leiva2023",sodium_hydroxide,RAW MATERIALS,kg,-0.2,raw_material,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"succinic acid, from glucose, according to Leiva2023",succinic_acid,PRODUCT,kg,1.0,intermediate,0.40678,https://doi.org/10.1016/j.susmat.2023.e00683
"succinic acid, from glucose, according to Leiva2023",water,RAW MATERIALS,kg,-3.49,raw_material,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"succinic acid, from glucose, according to Leiva2023",yeast,RAW MATERIALS,kg,-0.09,raw_material,0.4948780487804878,https://doi.org/10.1016/j.susmat.2023.e00683
"trimethylamine, from methanol and ammonia, mass balance only",ammonia,RAW MATERIALS,kg,-0.288,intermediate,0.0,mass balance
"trimethylamine, from methanol and ammonia, mass balance only",methanol,RAW MATERIALS,kg,-1.627,intermediate,0.375,mass balance
"trimethylamine, from methanol and ammonia, mass balance only",trimethylamine,PRODUCT,kg,1.0,intermediate,0.6101694915254238,mass balance
"acetaldehyde, from ethylene by one-step oxidation",acetaldehyde,PRODUCT,kg,1.0,intermediate,0.545,ihsmarkit
"acetic_anhydride, from acetic acid via ketene",acetic_acid,RAW MATERIALS,kg,-1.2331,intermediate,0.4,ihsmarkit
"acetic_anhydride, from acetic acid via ketene",acetic_anhydride,PRODUCT,kg,1.0,intermediate,0.471,ihsmarkit
"pbat, from aliphatic aromatic copolyester process",adipic_acid,RAW MATERIALS,kg,-0.3838,intermediate,0.493,ihsmarkit
"pbat, from aliphatic aromatic copolyester process",bdo_14,RAW MATERIALS,kg,-0.4433,intermediate,0.5333,ihsmarkit
"chlorobenzene, from benzene and chlorine",benzene,RAW MATERIALS,kg,-0.864426344861534,intermediate,0.9230769230769231,ihsmarkit
"chlorobenzene, from benzene and chlorine",chlorine,RAW MATERIALS,kg,-0.5977689245120346,raw_material,0.0,ihsmarkit
"chlorobenzene, from benzene and chlorine",chlorobenzene,PRODUCT,kg,1.0,intermediate,0.64,ihsmarkit
"acetaldehyde, from ethylene by one-step oxidation",cooling_water,UTILITIES,MJ,-7.454477587700302,intermediate,0.0,ihsmarkit
"acetic_anhydride, from acetic acid via ketene",cooling_water,UTILITIES,MJ,-3.252862981810307,intermediate,0.0,ihsmarkit
"chlorobenzene, from benzene and chlorine",cooling_water,UTILITIES,MJ,-4.431074501038049,intermediate,0.0,ihsmarkit
"pbat, from aliphatic aromatic copolyester process",cooling_water,UTILITIES,MJ,-1.1294662191424858,intermediate,0.0,ihsmarkit
"pef, from fdca",cooling_water,UTILITIES,MJ,-2.842143785188393,intermediate,0.0,ihsmarkit
"pla, by ring-opening polymerization",cooling_water,UTILITIES,MJ,-3.309302457773928,intermediate,0.0,ihsmarkit
"acetaldehyde, from ethylene by one-step oxidation",electricity,UTILITIES,kWh,-0.1113334399999999,intermediate,0.0,ihsmarkit
"acetic_anhydride, from acetic acid via ketene",electricity,UTILITIES,kWh,-0.41005981,intermediate,0.0,ihsmarkit
"chlorobenzene, from benzene and chlorine",electricity,UTILITIES,kWh,-0.4792948283924165,intermediate,0.0,ihsmarkit
"pbat, from aliphatic aromatic copolyester process",electricity,UTILITIES,kWh,-0.19841604,intermediate,0.0,ihsmarkit
"pef, from fdca",electricity,UTILITIES,kWh,-0.28600569,intermediate,0.0,ihsmarkit
"pla, by ring-opening polymerization",electricity,UTILITIES,kWh,-0.13501109,intermediate,0.0,ihsmarkit
"acetaldehyde, from ethylene by one-step oxidation",ethylene,RAW MATERIALS,kg,-0.68,intermediate,0.85714,ihsmarkit
"pef, from fdca",ethylene_glycol,RAW MATERIALS,kg,-0.3517,intermediate,0.387,ihsmarkit
"pef, from fdca",fdca,RAW MATERIALS,kg,-0.8850456521739131,intermediate,0.4615,ihsmarkit
"acetic_anhydride, from acetic acid via ketene",heat_high,UTILITIES,MJ,-3.8769768080640006,intermediate,0.0,ihsmarkit
"pbat, from aliphatic aromatic copolyester process",heat_high,UTILITIES,MJ,-1.396297810224,intermediate,0.0,ihsmarkit
"pef, from fdca",heat_high,UTILITIES,MJ,-24.120154809504,intermediate,0.0,ihsmarkit
"pla, by ring-opening polymerization",heat_high,UTILITIES,MJ,-1.3674866586120002,intermediate,0.0,ihsmarkit
"pla, by ring-opening polymerization",lactic_acid,RAW MATERIALS,kg,-1.2408,intermediate,0.4,ihsmarkit
"acetaldehyde, from ethylene by one-step oxidation",nitrogen_liquid,UTILITIES,kg,-0.00894497485,intermediate,0.0,ihsmarkit
"acetic_anhydride, from acetic acid via ketene",nitrogen_liquid,UTILITIES,kg,-0.00688075795,intermediate,0.0,ihsmarkit
"chlorobenzene, from benzene and chlorine",nitrogen_liquid,UTILITIES,kg,-0.0077411698331561,intermediate,0.0,ihsmarkit
"pla, by ring-opening polymerization",nitrogen_liquid,UTILITIES,kg,-0.00474083935,intermediate,0.0,ihsmarkit
"acetaldehyde, from ethylene by one-step oxidation",oxygen_liquid,RAW MATERIALS,kg,-0.4,intermediate,0.0,ihsmarkit
"chlorobenzene, from benzene and chlorine",oxygen_liquid,RAW MATERIALS,kg,-0.0377566919645693,intermediate,0.0,ihsmarkit
"pbat, from aliphatic aromatic copolyester process",pbat,PRODUCT,kg,1.0,intermediate,0.633,ihsmarkit
"pef, from fdca",pef,PRODUCT,kg,1.0,intermediate,0.52747,ihsmarkit
"pla, by ring-opening polymerization",pla,PRODUCT,kg,1.0,intermediate,0.5,ihsmarkit
"chlorobenzene, from benzene and chlorine",sodium_hydroxide,RAW MATERIALS,kg,-0.2308928149356786,raw_material,0.0,ihsmarkit
"acetaldehyde, from ethylene by one-step oxidation",steam_high,UTILITIES,MJ,-9.504,intermediate,0.0,ihsmarkit
"acetic_anhydride, from acetic acid via ketene",steam_high,UTILITIES,MJ,-10.048000000000002,intermediate,0.0,ihsmarkit
"chlorobenzene, from benzene and chlorine",steam_high,UTILITIES,MJ,-5.526894592581492,intermediate,0.0,ihsmarkit
"pbat, from aliphatic aromatic copolyester process",steam_high,UTILITIES,MJ,-1.6016,intermediate,0.0,ihsmarkit
"pef, from fdca",steam_high,UTILITIES,MJ,-8.0128,intermediate,0.0,ihsmarkit
"pla, by ring-opening polymerization",steam_high,UTILITIES,MJ,-7.869760000000001,intermediate,0.0,ihsmarkit
"chlorobenzene, from benzene and chlorine",sulfuric_acid,RAW MATERIALS,kg,-0.0044231198962127,raw_material,0.0,ihsmarkit
"pbat, from aliphatic aromatic copolyester process",terephthalic_acid,RAW MATERIALS,kg,-0.3570711340206185,intermediate,0.578,ihsmarkit
"acetaldehyde, from ethylene by one-step oxidation",water,UTILITIES,kg,-2.58707,raw_material,0.0,ihsmarkit
"chlorobenzene, from benzene and chlorine",water,UTILITIES,kg,-0.0368352533100512,raw_material,0.0,ihsmarkit
"pef, from fdca",water,UTILITIES,kg,-0.03756,raw_material,0.0,ihsmarkit
"cyclohexane, from benzene by hydrogenation",benzene,RAW MATERIALS,kg,-0.9135857509664488,intermediate,0.9230769230769231,ihsmarkit
"cyclohexane, from benzene by hydrogenation",co2_emission,EMISSION,kg,0.2136651530148972,emission,0.2727272727272727,ihsmarkit
"cyclohexane, from benzene by hydrogenation",cooling_water,UTILITIES,MJ,-0.4442611870328059,intermediate,0.0,ihsmarkit
"cyclohexane, from benzene by hydrogenation",cyclohexane,PRODUCT,kg,1.0,intermediate,0.857,ihsmarkit
"cyclohexane, from benzene by hydrogenation",electricity,UTILITIES,kWh,-0.0668573849869597,intermediate,0.0,ihsmarkit
"cyclohexane, from benzene by hydrogenation",hydrogen,RAW MATERIALS,kg,-0.0666117853773337,intermediate,0.0,ihsmarkit
"cyclohexane, from benzene by hydrogenation",water,UTILITIES,kg,-0.8995744815609038,raw_material,0.0,ihsmarkit
"dimethyl_terephthalate, from p-xylene by oxidation and esterification",cooling_water,UTILITIES,MJ,-3.2864277873451644,intermediate,0.0,ihsmarkit
"dimethyl_terephthalate, from p-xylene by oxidation and esterification",dimethyl_terephthalate,PRODUCT,kg,1.0,intermediate,0.619,ihsmarkit
"dimethyl_terephthalate, from p-xylene by oxidation and esterification",electricity,UTILITIES,kWh,-0.3288011095133918,intermediate,0.0,ihsmarkit
"dimethyl_terephthalate, from p-xylene by oxidation and esterification",heat_high,UTILITIES,MJ,-4.4731293399916,intermediate,0.0,ihsmarkit
"dimethyl_terephthalate, from p-xylene by oxidation and esterification",methanol,RAW MATERIALS,kg,-0.3969899219264641,intermediate,0.375,ihsmarkit
"dimethyl_terephthalate, from p-xylene by oxidation and esterification",p-xylene,RAW MATERIALS,kg,-0.6234753707133031,intermediate,0.9056603773584906,ihsmarkit
"dimethyl_terephthalate, from p-xylene by oxidation and esterification",water,UTILITIES,kg,-0.0830189661952592,raw_material,0.0,ihsmarkit
"ethylene, from ethanol dehydration",cooling_water,UTILITIES,MJ,-0.38735779431053535,intermediate,0.0,ihsmarkit
"ethylene, from ethanol dehydration",electricity,UTILITIES,kWh,-0.3342637996278912,intermediate,0.0,ihsmarkit
"ethylene, from ethanol dehydration",ethanol,RAW MATERIALS,kg,-1.6354765685151602,intermediate,0.5217,ihsmarkit
"ethylene, from ethanol dehydration",ethylene,PRODUCT,kg,1.0,intermediate,0.85714,ihsmarkit
"ethylene, from ethanol dehydration",heat_high,UTILITIES,MJ,-1.7180886603862306,intermediate,0.0,ihsmarkit
"ammonium sulfate, from ammonia and sulfuric acid",ammonia,RAW MATERIALS,kg,-0.2654,intermediate,0.0,ecoinvent
"ammonium sulfate, from ammonia and sulfuric acid",ammonium_sulfate,PRODUCT,kg,1.0,intermediate,0.0,ecoinvent
"ammonium sulfate, from ammonia and sulfuric acid",electricity,UTILITIES,kWh,-0.1971,intermediate,0.0,ecoinvent
"ammonium sulfate, from ammonia and sulfuric acid",sulfuric_acid,RAW MATERIALS,kg,-0.76039,raw_material,0.0,ecoinvent
"corn steep liquor, from corn",corn_steep_liquor,PRODUCT,kg,1.0,intermediate,0.3896,agri-footprint
"corn steep liquor, from corn",electricity,UTILITIES,kWh,-0.0006847435897435897,intermediate,0.0,agri-footprint
"corn steep liquor, from corn",heat_high,UTILITIES,MJ,-0.03561784615384615,intermediate,0.0,agri-footprint
"corn steep liquor, from corn",maize_grain,RAW MATERIALS,kg,-0.05030769230769231,raw_material,0.39,agri-footprint
"corn steep liquor, from corn",sulfur_dioxide,RAW MATERIALS,kg,-0.007043076923076924,intermediate,0.0,agri-footprint
"corn steep liquor, from corn",water,RAW MATERIALS,kg,-0.0869206246153846,raw_material,0.0,agri-footprint
"enzyme, from potato starch",electricity,UTILITIES,kWh,-6.2963,intermediate,0.0,ecoinvent
"enzyme, from potato starch",enzyme,PRODUCT,kg,1.0,intermediate,0.53,ecoinvent
"enzyme, from potato starch",heat_high,UTILITIES,MJ,-8.2667,intermediate,0.0,ecoinvent
"enzyme, from potato starch",potato_starch,RAW MATERIALS,kg,-4.1667,intermediate,0.4444444444444444,ecoinvent
"hydrogen_peroxide, by anthraquinone process",cooling_water,UTILITIES,MJ,-7.047869748809008,intermediate,0.0,ihsmarkit
"hydrogen_peroxide, by anthraquinone process",electricity,UTILITIES,kWh,-0.71209311,intermediate,0.0,ihsmarkit
"hydrogen_peroxide, by anthraquinone process",hydrogen,RAW MATERIALS,kg,-0.0627458961375,intermediate,0.0,ihsmarkit
"hydrogen_peroxide, by anthraquinone process",hydrogen_peroxide,PRODUCT,kg,1.0,intermediate,0.0,ihsmarkit
"hydrogen_peroxide, by anthraquinone process",nitrogen_liquid,UTILITIES,kg,-0.03440376645,intermediate,0.0,ihsmarkit
"hydrogen_peroxide, by anthraquinone process",steam_high,UTILITIES,MJ,-15.712000000000002,intermediate,0.0,ihsmarkit
"hydrogen_peroxide, by anthraquinone process",water,UTILITIES,kg,-4.00579,raw_material,0.0,ihsmarkit
"butadiene, from ethanol to butadiene process",butadiene,PRODUCT,kg,1.0,intermediate,0.889,https://doi.org/10.1016/j.jclepro.2022.133963
"butadiene, from ethanol to butadiene process",electricity,UTILITIES,kWh,-0.8040465588023937,intermediate,0.0,https://doi.org/10.1016/j.jclepro.2022.133963
"butadiene, from ethanol to butadiene process",ethanol,RAW MATERIALS,kg,-1.8813349580013452,intermediate,0.5217,https://doi.org/10.1016/j.jclepro.2022.133963
"butadiene, from ethanol to butadiene process",heat_high,UTILITIES,MJ,-9.55524584996256,intermediate,0.0,https://doi.org/10.1016/j.jclepro.2022.133963
"butadiene, from ethanol to butadiene process",hydrogen_peroxide,RAW MATERIALS,kg,-0.04144155962981113,intermediate,0.0,https://doi.org/10.1016/j.jclepro.2022.133963
"butadiene, from ethanol to butadiene process",steam_high,UTILITIES,MJ,-21.922680641770153,intermediate,0.0,https://doi.org/10.1016/j.jclepro.2022.133963
"butadiene, from ethanol to butadiene process",water,RAW MATERIALS,kg,-18.364298973210424,raw_material,0.0,https://doi.org/10.1016/j.jclepro.2022.133963
"butadiene, from ethanol to butadiene process",co2_emission,EMISSION,kg,0.3058167226199904,emission,0.2727272727272727,https://doi.org/10.1016/j.jclepro.2022.133963
"carbon_monoxide, from partial condensation of syngas",carbon_monoxide,PRODUCT,kg,1.0,intermediate,0.42857142857142855,mass balance + ihs
"carbon_monoxide, from partial condensation of syngas",cooling_water,UTILITIES,MJ,-0.6494914015906165,intermediate,0.0,mass balance + ihs
"carbon_monoxide, from partial condensation of syngas",electricity,UTILITIES,kWh,-0.3232636466627942,intermediate,0.0,mass balance + ihs
"carbon_monoxide, from partial condensation of syngas",syngas_2_to_1,RAW MATERIALS,kg,-0.6740920946542465,intermediate,0.374789328,mass balance + ihs
"ethanol, from liquid hot water pre-treatment of agricultural residue, according to LiuF2021",agricultural_residue,RAW MATERIALS,kg,-2.919703743381428,intermediate,0.494,https://doi.org/10.1016/j.jclepro.2021.129707
"ethanol, from liquid hot water pre-treatment of agricultural residue, according to LiuF2021",ammonium_sulfate,RAW MATERIALS,kg,-0.10253284185379584,intermediate,0.0,https://doi.org/10.1016/j.jclepro.2021.129707
"ethanol, from liquid hot water pre-treatment of agricultural residue, according to LiuF2021",co2_feedstock,BY-PRODUCT CREDITS,kg,0.8377007021810848,raw_material,0.2727272727272727,https://doi.org/10.1016/j.jclepro.2021.129707
"ethanol, from liquid hot water pre-treatment of agricultural residue, according to LiuF2021",corn_steep_liquor,RAW MATERIALS,kg,-0.10162547157190381,intermediate,0.3896,https://doi.org/10.1016/j.jclepro.2021.129707
"ethanol, from liquid hot water pre-treatment of agricultural residue, according to LiuF2021",ethanol,PRODUCT,kg,1.0,intermediate,0.5217,https://doi.org/10.1016/j.jclepro.2021.129707
"ethanol, from liquid hot water pre-treatment of agricultural residue, according to LiuF2021",glucose,RAW MATERIALS,kg,-0.24045312470137958,intermediate,0.4,https://doi.org/10.1016/j.jclepro.2021.129707
"ethanol, from liquid hot water pre-treatment of agricultural residue, according to LiuF2021",sulfuric_acid,RAW MATERIALS,kg,-0.09580174110388637,raw_material,0.0,https://doi.org/10.1016/j.jclepro.2021.129707
"ethanol, from liquid hot water pre-treatment of agricultural residue, according to LiuF2021",water,RAW MATERIALS,kg,-14.430762889620183,raw_material,0.0,https://doi.org/10.1016/j.jclepro.2021.129707
"ethanol, from liquid hot water pre-treatment of agricultural residue, according to LiuF2021",co2_emission,EMISSION,kg,2.847699736669023,emission,0.2727272727272727,https://doi.org/10.1016/j.jclepro.2021.129707
"glucose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",agricultural_residue,RAW MATERIALS,kg,-1.4426350326602866,intermediate,0.494,https://doi.org/10.1016/j.biortech.2015.11.008
"glucose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",cooling_water,UTILITIES,MJ,-0.6128297481277333,intermediate,0.0,https://doi.org/10.1016/j.biortech.2015.11.008
"glucose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",electricity,UTILITIES,kWh,-0.3432298587904772,intermediate,0.0,https://doi.org/10.1016/j.biortech.2015.11.008
"glucose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",enzyme,RAW MATERIALS,kg,-0.004860964838618141,intermediate,0.53,https://doi.org/10.1016/j.biortech.2015.11.008
"glucose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",glucose,PRODUCT,kg,1.0,intermediate,0.4,https://doi.org/10.1016/j.biortech.2015.11.008
"glucose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",steam_high,UTILITIES,MJ,-2.503256101860726,intermediate,0.0,https://doi.org/10.1016/j.biortech.2015.11.008
"glucose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",water,RAW MATERIALS,kg,-9.11180566413376,raw_material,0.0,https://doi.org/10.1016/j.biortech.2015.11.008
"glucose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",co2_emission,EMISSION,kg,1.0696966714844571,emission,0.2727272727272727,https://doi.org/10.1016/j.biortech.2015.11.008
"lactic acid, from steam explosion pre-treatment of agricultural residue, according to Mandegari2018",agricultural_residue,RAW MATERIALS,kg,-2.009314773477659,intermediate,0.494,https://doi.org/10.1002/bbb.1801
"lactic acid, from steam explosion pre-treatment of agricultural residue, according to Mandegari2018",cooling_water,UTILITIES,MJ,-2.3596568365455552,intermediate,0.0,https://doi.org/10.1002/bbb.1801
"lactic acid, from steam explosion pre-treatment of agricultural residue, according to Mandegari2018",corn_steep_liquor,RAW MATERIALS,kg,-0.04686855511365699,intermediate,0.3896,https://doi.org/10.1002/bbb.1801
"lactic acid, from steam explosion pre-treatment of agricultural residue, according to Mandegari2018",lactic_acid,PRODUCT,kg,1.0,intermediate,0.4,https://doi.org/10.1002/bbb.1801
"lactic acid, from steam explosion pre-treatment of agricultural residue, according to Mandegari2018",sodium_hydroxide,RAW MATERIALS,kg,-0.0012884923157851242,raw_material,0.0,https://doi.org/10.1002/bbb.1801
